;t_user;rt_user;user_id;retweet_count;favorite_count;created_at;retweeted;hashtags;user_mentions;text
92;Alexandre Zapolsky (we are hiring !);fayon;278458528;4;0;Thu Apr 13 15:52:50 +0000 2023;True;[];"[{'screen_name': 'fayon', 'name': 'David Fayon #Transformationdigitale', 'id': 20511199, 'id_str': '20511199', 'indices': [3, 9]}, {'screen_name': 'linagora', 'name': 'Linagora', 'id': 42016359, 'id_str': '42016359', 'indices': [43, 52]}, {'screen_name': 'Issylesmoul', 'name': ""Ville d'Issy-les-Moulineaux"", 'id': 42961198, 'id_str': '42961198', 'indices': [55, 67]}, {'screen_name': 'michel_paulin', 'name': 'Michel Paulin', 'id': 598213551, 'id_str': '598213551', 'indices': [73, 87]}, {'screen_name': 'OVHcloud', 'name': 'OVHcloud', 'id': 317647291, 'id_str': '317647291', 'indices': [88, 97]}, {'screen_name': 'gouriet', 'name': 'Gouriet Martine', 'id': 100223182, 'id_str': '100223182', 'indices': [98, 106]}, {'screen_name': 'AlainIssarni', 'name': 'Alain Issarni', 'id': 260675980, 'id_str': '260675980', 'indices': [107, 120]}, {'screen_name': 'NumSpotCloud', 'name': 'NumSpot', 'id': 1621188626317983744, 'id_str': '1621188626317983744', 'indices': [121, 134]}]";"RT @fayon: 24 avril 18 h 30 L'événement de @linagora à @Issylesmoul avec @michel_paulin @OVHcloud
@gouriet @AlainIssarni @NumSpotCloud @pla…"
93;David Fiou;linagora;433684191;9;0;Thu Apr 13 15:52:16 +0000 2023;True;[{'text': 'OpenSource', 'indices': [31, 42]}];[{'screen_name': 'linagora', 'name': 'Linagora', 'id': 42016359, 'id_str': '42016359', 'indices': [3, 12]}, {'screen_name': 'platombe', 'name': 'Philippe Latombe', 'id': 560299831, 'id_str': '560299831', 'indices': [95, 104]}];"RT @linagora: 📢 📆 [Les soirées #OpenSource Pro] 
Edition Spéciale ✨ Souveraineté Numérique

w/ @platombe Député Vendée &amp; vice Pdt du Groupe…"
95;🇫🇷MagaliH🇨🇦;tvlofficiel;1488329265896738816;10;0;Thu Apr 13 15:12:57 +0000 2023;True;[];[{'screen_name': 'tvlofficiel', 'name': 'TVL', 'id': 2329034473, 'id_str': '2329034473', 'indices': [3, 15]}, {'screen_name': 'gabriel_draghi', 'name': 'Marc Gabriel Draghi', 'id': 615339753, 'id_str': '615339753', 'indices': [93, 108]}];"RT @tvlofficiel: 🎥[Pol &amp; Eco] Hystérie verte et monnaie numérique : l'agenda de la peur

@gabriel_draghi, juriste spécialiste en histoire d…"
97;Souveraine Tech;linagora;1256644369077219328;9;0;Thu Apr 13 14:45:00 +0000 2023;True;[{'text': 'OpenSource', 'indices': [31, 42]}];[{'screen_name': 'linagora', 'name': 'Linagora', 'id': 42016359, 'id_str': '42016359', 'indices': [3, 12]}, {'screen_name': 'platombe', 'name': 'Philippe Latombe', 'id': 560299831, 'id_str': '560299831', 'indices': [95, 104]}];"RT @linagora: 📢 📆 [Les soirées #OpenSource Pro] 
Edition Spéciale ✨ Souveraineté Numérique

w/ @platombe Député Vendée &amp; vice Pdt du Groupe…"
98;Mathieu Weill;CSNUMPOST;22599343;7;0;Thu Apr 13 14:41:04 +0000 2023;True;[{'text': 'numérique', 'indices': [57, 67]}, {'text': 'souverainete', 'indices': [117, 130]}];[{'screen_name': 'CSNUMPOST', 'name': 'Commission Supérieure du Numérique et des Postes', 'id': 2828093282, 'id_str': '2828093282', 'indices': [3, 13]}, {'screen_name': 'mathieuweill', 'name': 'Mathieu Weill', 'id': 22599343, 'id_str': '22599343', 'indices': [29, 42]}];RT @CSNUMPOST: Échanges avec @mathieuweill, Directeur du #numérique du Ministère de l’intérieur dans le cadre des GT #souverainete numériqu…
99;Loïc Tregoures;JeanMichelMIS;1261968912;1;0;Thu Apr 13 14:30:55 +0000 2023;True;[];[{'screen_name': 'JeanMichelMIS', 'name': 'Jean-Michel MIS', 'id': 48664671, 'id_str': '48664671', 'indices': [3, 17]}];"RT @JeanMichelMIS: INTELLIGENCE ARTIFICIELLE ET SOUVERAINETÉ NUMÉRIQUE : enjeux et défis du XXIe siècle pour protéger la vie du citoyen

Tr…"
100;Anne Le Hénanff;CSNUMPOST;3018288268;7;0;Thu Apr 13 14:25:43 +0000 2023;True;[{'text': 'numérique', 'indices': [57, 67]}, {'text': 'souverainete', 'indices': [117, 130]}];[{'screen_name': 'CSNUMPOST', 'name': 'Commission Supérieure du Numérique et des Postes', 'id': 2828093282, 'id_str': '2828093282', 'indices': [3, 13]}, {'screen_name': 'mathieuweill', 'name': 'Mathieu Weill', 'id': 22599343, 'id_str': '22599343', 'indices': [29, 42]}];RT @CSNUMPOST: Échanges avec @mathieuweill, Directeur du #numérique du Ministère de l’intérieur dans le cadre des GT #souverainete numériqu…
102;Sébastien DHÉRINES 🇫🇷🥃;Alliancy_lemag;28346746;2;0;Thu Apr 13 13:57:51 +0000 2023;True;[];[{'screen_name': 'Alliancy_lemag', 'name': 'Alliancy Le Mag', 'id': 912513222, 'id_str': '912513222', 'indices': [3, 18]}, {'screen_name': 'Seby2027', 'name': 'Sébastien DHÉRINES 🇫🇷🥃', 'id': 28346746, 'id_str': '28346746', 'indices': [22, 31]}, {'screen_name': 'EcoleHexagone', 'name': 'École Hexagone', 'id': 1254711943908274177, 'id_str': '1254711943908274177', 'indices': [48, 62]}];RT @Alliancy_lemag: 🎒 @Seby2027, président de l’@EcoleHexagone, duplique la mécanique bien huilée des géants américains en termes de #forma…
103;École Hexagone;Alliancy_lemag;1254711943908274177;2;0;Thu Apr 13 13:27:35 +0000 2023;True;[];[{'screen_name': 'Alliancy_lemag', 'name': 'Alliancy Le Mag', 'id': 912513222, 'id_str': '912513222', 'indices': [3, 18]}, {'screen_name': 'Seby2027', 'name': 'Sébastien DHÉRINES 🇫🇷🥃', 'id': 28346746, 'id_str': '28346746', 'indices': [22, 31]}, {'screen_name': 'EcoleHexagone', 'name': 'École Hexagone', 'id': 1254711943908274177, 'id_str': '1254711943908274177', 'indices': [48, 62]}];RT @Alliancy_lemag: 🎒 @Seby2027, président de l’@EcoleHexagone, duplique la mécanique bien huilée des géants américains en termes de #forma…
105;DocuSign France;clublesechos;2756075618;1;0;Thu Apr 13 12:58:41 +0000 2023;True;[];[{'screen_name': 'clublesechos', 'name': 'Le Club Les Echos Débats', 'id': 711940195340439552, 'id_str': '711940195340439552', 'indices': [3, 16]}, {'screen_name': 'jnbarrot', 'name': 'Jean-Noël Barrot', 'id': 865482011523166209, 'id_str': '865482011523166209', 'indices': [122, 131]}];"RT @clublesechos: 📣 Nos partenaires vous donnent rendez-vous !
 
👉 Inscription : https://t.co/Yvavw17XmM
 
 Pour ce Club, @jnbarrot sera no…"
106;CNRS Côte d’Azur;Maison_IA;1577148427;2;0;Thu Apr 13 12:49:06 +0000 2023;True;[{'text': 'IADATES', 'indices': [18, 26]}];"[{'screen_name': 'Maison_IA', 'name': ""Maison de l'Intelligence Artificielle"", 'id': 1319630982291533826, 'id_str': '1319630982291533826', 'indices': [3, 13]}]";"RT @Maison_IA: 🗓️[#IADATES] RDV le 26/04 pour la conférence
""IA &amp; souveraineté numérique : Enjeux &amp; défis du XXIè s. pour la protection du…"
108;François BOCQUET;CSNUMPOST;12073732;7;0;Thu Apr 13 12:47:43 +0000 2023;True;[{'text': 'numérique', 'indices': [57, 67]}, {'text': 'souverainete', 'indices': [117, 130]}];[{'screen_name': 'CSNUMPOST', 'name': 'Commission Supérieure du Numérique et des Postes', 'id': 2828093282, 'id_str': '2828093282', 'indices': [3, 13]}, {'screen_name': 'mathieuweill', 'name': 'Mathieu Weill', 'id': 22599343, 'id_str': '22599343', 'indices': [29, 42]}];RT @CSNUMPOST: Échanges avec @mathieuweill, Directeur du #numérique du Ministère de l’intérieur dans le cadre des GT #souverainete numériqu…
109;Alexandre Zapolsky (we are hiring !);linagora;278458528;9;0;Thu Apr 13 12:43:40 +0000 2023;True;[{'text': 'OpenSource', 'indices': [31, 42]}];[{'screen_name': 'linagora', 'name': 'Linagora', 'id': 42016359, 'id_str': '42016359', 'indices': [3, 12]}, {'screen_name': 'platombe', 'name': 'Philippe Latombe', 'id': 560299831, 'id_str': '560299831', 'indices': [95, 104]}];"RT @linagora: 📢 📆 [Les soirées #OpenSource Pro] 
Edition Spéciale ✨ Souveraineté Numérique

w/ @platombe Député Vendée &amp; vice Pdt du Groupe…"
110;Henri d'AGRAIN;CSNUMPOST;785462626574893056;7;0;Thu Apr 13 12:42:54 +0000 2023;True;[{'text': 'numérique', 'indices': [57, 67]}, {'text': 'souverainete', 'indices': [117, 130]}];[{'screen_name': 'CSNUMPOST', 'name': 'Commission Supérieure du Numérique et des Postes', 'id': 2828093282, 'id_str': '2828093282', 'indices': [3, 13]}, {'screen_name': 'mathieuweill', 'name': 'Mathieu Weill', 'id': 22599343, 'id_str': '22599343', 'indices': [29, 42]}];RT @CSNUMPOST: Échanges avec @mathieuweill, Directeur du #numérique du Ministère de l’intérieur dans le cadre des GT #souverainete numériqu…
111;Ju.;Scout_Finch71;4266837147;1;0;Thu Apr 13 12:33:14 +0000 2023;True;[];[{'screen_name': 'Scout_Finch71', 'name': 'Fandrine', 'id': 976145563, 'id_str': '976145563', 'indices': [3, 17]}, {'screen_name': 'OECParis', 'name': 'OECParis', 'id': 1310623453, 'id_str': '1310623453', 'indices': [78, 87]}, {'screen_name': 'INPIFrance', 'name': 'INPI France', 'id': 2301735871, 'id_str': '2301735871', 'indices': [88, 99]}, {'screen_name': 'Infogreffe', 'name': 'Infogreffe Officiel', 'id': 1425053186, 'id_str': '1425053186', 'indices': [101, 112]}, {'screen_name': 'CNG_TC', 'name': 'Conseil National des Greffiers', 'id': 993472298110935040, 'id_str': '993472298110935040', 'indices': [113, 120]}, {'screen_name': 'BrunoLeMaire', 'name': 'Bruno Le Maire', 'id': 374184532, 'id_str': '374184532', 'indices': [122, 135]}];"RT @Scout_Finch71: on progresse ... on régresse ... et moi je m'engraisse ...
@OECParis
@INPIFrance 
@Infogreffe
@CNG_TC 
@BrunoLeMaire (So…"
113;LORD de GLENCOE (kalibur808) @GenFrexit #AH2020;tvlofficiel;2950722765;10;0;Thu Apr 13 12:21:07 +0000 2023;True;[];[{'screen_name': 'tvlofficiel', 'name': 'TVL', 'id': 2329034473, 'id_str': '2329034473', 'indices': [3, 15]}, {'screen_name': 'gabriel_draghi', 'name': 'Marc Gabriel Draghi', 'id': 615339753, 'id_str': '615339753', 'indices': [93, 108]}];"RT @tvlofficiel: 🎥[Pol &amp; Eco] Hystérie verte et monnaie numérique : l'agenda de la peur

@gabriel_draghi, juriste spécialiste en histoire d…"
114;Valérie Montané;CSNUMPOST;1141062629135458304;7;0;Thu Apr 13 12:19:12 +0000 2023;True;[{'text': 'numérique', 'indices': [57, 67]}, {'text': 'souverainete', 'indices': [117, 130]}];[{'screen_name': 'CSNUMPOST', 'name': 'Commission Supérieure du Numérique et des Postes', 'id': 2828093282, 'id_str': '2828093282', 'indices': [3, 13]}, {'screen_name': 'mathieuweill', 'name': 'Mathieu Weill', 'id': 22599343, 'id_str': '22599343', 'indices': [29, 42]}];RT @CSNUMPOST: Échanges avec @mathieuweill, Directeur du #numérique du Ministère de l’intérieur dans le cadre des GT #souverainete numériqu…
115;Patrick_Roubinet;tvlofficiel;417482440;10;0;Thu Apr 13 12:11:29 +0000 2023;True;[];[{'screen_name': 'tvlofficiel', 'name': 'TVL', 'id': 2329034473, 'id_str': '2329034473', 'indices': [3, 15]}, {'screen_name': 'gabriel_draghi', 'name': 'Marc Gabriel Draghi', 'id': 615339753, 'id_str': '615339753', 'indices': [93, 108]}];"RT @tvlofficiel: 🎥[Pol &amp; Eco] Hystérie verte et monnaie numérique : l'agenda de la peur

@gabriel_draghi, juriste spécialiste en histoire d…"
116;Marc Gabriel Draghi;tvlofficiel;615339753;10;0;Thu Apr 13 11:58:14 +0000 2023;True;[];[{'screen_name': 'tvlofficiel', 'name': 'TVL', 'id': 2329034473, 'id_str': '2329034473', 'indices': [3, 15]}, {'screen_name': 'gabriel_draghi', 'name': 'Marc Gabriel Draghi', 'id': 615339753, 'id_str': '615339753', 'indices': [93, 108]}];"RT @tvlofficiel: 🎥[Pol &amp; Eco] Hystérie verte et monnaie numérique : l'agenda de la peur

@gabriel_draghi, juriste spécialiste en histoire d…"
117;Tcheko01;bortzmeyer;956523366630019073;51;0;Thu Apr 13 11:50:20 +0000 2023;True;[];[{'screen_name': 'bortzmeyer', 'name': 'Stéphane Bortzmeyer', 'id': 75263632, 'id_str': '75263632', 'indices': [3, 14]}, {'screen_name': 'meteofrance', 'name': 'Météo-France', 'id': 756762998, 'id_str': '756762998', 'indices': [87, 99]}];RT @bortzmeyer: La souveraineté numérique vient de faire un bond (mais pas en avant) : @meteofrance qui avait cassé tous ses serveurs de no…
118;🇫🇷Gr@nzi@tti Officielℹ🇷🇺;tvlofficiel;1071686498;10;0;Thu Apr 13 11:38:49 +0000 2023;True;[];[{'screen_name': 'tvlofficiel', 'name': 'TVL', 'id': 2329034473, 'id_str': '2329034473', 'indices': [3, 15]}, {'screen_name': 'gabriel_draghi', 'name': 'Marc Gabriel Draghi', 'id': 615339753, 'id_str': '615339753', 'indices': [93, 108]}];"RT @tvlofficiel: 🎥[Pol &amp; Eco] Hystérie verte et monnaie numérique : l'agenda de la peur

@gabriel_draghi, juriste spécialiste en histoire d…"
119;Olivier;tvlofficiel;1519370626355585026;10;0;Thu Apr 13 11:35:25 +0000 2023;True;[];[{'screen_name': 'tvlofficiel', 'name': 'TVL', 'id': 2329034473, 'id_str': '2329034473', 'indices': [3, 15]}, {'screen_name': 'gabriel_draghi', 'name': 'Marc Gabriel Draghi', 'id': 615339753, 'id_str': '615339753', 'indices': [93, 108]}];"RT @tvlofficiel: 🎥[Pol &amp; Eco] Hystérie verte et monnaie numérique : l'agenda de la peur

@gabriel_draghi, juriste spécialiste en histoire d…"
120;PressReviewCotedAzur;Maison_IA;1265934723894915079;4;0;Thu Apr 13 11:35:06 +0000 2023;True;[{'text': 'IADATES', 'indices': [31, 39]}, {'text': 'IA', 'indices': [44, 47]}];"[{'screen_name': 'Maison_IA', 'name': ""Maison de l'Intelligence Artificielle"", 'id': 1319630982291533826, 'id_str': '1319630982291533826', 'indices': [3, 13]}]";"RT @Maison_IA: 📢[SAVE THE DATE #IADATES]

« #IA ET SOUVERAINETÉ NUMÉRIQUE : enjeux et défis du XXIe siècle pour la protection du citoyen »…"
121;aojald;Al_Bast;509968849;1;0;Thu Apr 13 11:33:28 +0000 2023;True;[];[{'screen_name': 'Al_Bast', 'name': 'Αλ Μπαστ', 'id': 146165056, 'id_str': '146165056', 'indices': [3, 11]}];RT @Al_Bast: Arrêtez de fantasmer avec la souveraineté numérique, ce n’est tout simplement pas possible actuellement (et si pensez le contr…
123;Jeanne Bretécher;CSNUMPOST;1461591488;7;0;Thu Apr 13 11:14:30 +0000 2023;True;[{'text': 'numérique', 'indices': [57, 67]}, {'text': 'souverainete', 'indices': [117, 130]}];[{'screen_name': 'CSNUMPOST', 'name': 'Commission Supérieure du Numérique et des Postes', 'id': 2828093282, 'id_str': '2828093282', 'indices': [3, 13]}, {'screen_name': 'mathieuweill', 'name': 'Mathieu Weill', 'id': 22599343, 'id_str': '22599343', 'indices': [29, 42]}];RT @CSNUMPOST: Échanges avec @mathieuweill, Directeur du #numérique du Ministère de l’intérieur dans le cadre des GT #souverainete numériqu…
126;🇫🇷 Ludovic X. PROVOST;CSNUMPOST;84341644;7;0;Thu Apr 13 10:59:49 +0000 2023;True;[{'text': 'numérique', 'indices': [57, 67]}, {'text': 'souverainete', 'indices': [117, 130]}];[{'screen_name': 'CSNUMPOST', 'name': 'Commission Supérieure du Numérique et des Postes', 'id': 2828093282, 'id_str': '2828093282', 'indices': [3, 13]}, {'screen_name': 'mathieuweill', 'name': 'Mathieu Weill', 'id': 22599343, 'id_str': '22599343', 'indices': [29, 42]}];RT @CSNUMPOST: Échanges avec @mathieuweill, Directeur du #numérique du Ministère de l’intérieur dans le cadre des GT #souverainete numériqu…
127;Raoul Delpech;linagora;584124741;9;0;Thu Apr 13 10:51:22 +0000 2023;True;[{'text': 'OpenSource', 'indices': [31, 42]}];[{'screen_name': 'linagora', 'name': 'Linagora', 'id': 42016359, 'id_str': '42016359', 'indices': [3, 12]}, {'screen_name': 'platombe', 'name': 'Philippe Latombe', 'id': 560299831, 'id_str': '560299831', 'indices': [95, 104]}];"RT @linagora: 📢 📆 [Les soirées #OpenSource Pro] 
Edition Spéciale ✨ Souveraineté Numérique

w/ @platombe Député Vendée &amp; vice Pdt du Groupe…"
128;La veille techno;linagora;135145900;9;0;Thu Apr 13 10:24:22 +0000 2023;True;[{'text': 'OpenSource', 'indices': [31, 42]}];[{'screen_name': 'linagora', 'name': 'Linagora', 'id': 42016359, 'id_str': '42016359', 'indices': [3, 12]}, {'screen_name': 'platombe', 'name': 'Philippe Latombe', 'id': 560299831, 'id_str': '560299831', 'indices': [95, 104]}];"RT @linagora: 📢 📆 [Les soirées #OpenSource Pro] 
Edition Spéciale ✨ Souveraineté Numérique

w/ @platombe Député Vendée &amp; vice Pdt du Groupe…"
131;Michel Guillou 🤾🤾‍♀️🏴‍☠️;bortzmeyer;32991041;51;0;Thu Apr 13 09:35:54 +0000 2023;True;[];[{'screen_name': 'bortzmeyer', 'name': 'Stéphane Bortzmeyer', 'id': 75263632, 'id_str': '75263632', 'indices': [3, 14]}, {'screen_name': 'meteofrance', 'name': 'Météo-France', 'id': 756762998, 'id_str': '756762998', 'indices': [87, 99]}];RT @bortzmeyer: La souveraineté numérique vient de faire un bond (mais pas en avant) : @meteofrance qui avait cassé tous ses serveurs de no…
133;Pierre-Henry Muller;bortzmeyer;17692083;51;0;Thu Apr 13 09:02:37 +0000 2023;True;[];[{'screen_name': 'bortzmeyer', 'name': 'Stéphane Bortzmeyer', 'id': 75263632, 'id_str': '75263632', 'indices': [3, 14]}, {'screen_name': 'meteofrance', 'name': 'Météo-France', 'id': 756762998, 'id_str': '756762998', 'indices': [87, 99]}];RT @bortzmeyer: La souveraineté numérique vient de faire un bond (mais pas en avant) : @meteofrance qui avait cassé tous ses serveurs de no…
135;phaleon;madstk;87228085;1;0;Thu Apr 13 08:48:26 +0000 2023;True;[];[{'screen_name': 'madstk', 'name': 'Stéphane Karges', 'id': 267672435, 'id_str': '267672435', 'indices': [3, 10]}, {'screen_name': 'bortzmeyer', 'name': 'Stéphane Bortzmeyer', 'id': 75263632, 'id_str': '75263632', 'indices': [12, 23]}, {'screen_name': 'Al_Bast', 'name': 'Αλ Μπαστ', 'id': 146165056, 'id_str': '146165056', 'indices': [24, 32]}];RT @madstk: @bortzmeyer @Al_Bast Le problème n’est pas la souveraineté numérique mais le fait que les boîtes françaises veulent des mecs qu…
139;Archoad;bortzmeyer;84549230;51;0;Thu Apr 13 08:18:57 +0000 2023;True;[];[{'screen_name': 'bortzmeyer', 'name': 'Stéphane Bortzmeyer', 'id': 75263632, 'id_str': '75263632', 'indices': [3, 14]}, {'screen_name': 'meteofrance', 'name': 'Météo-France', 'id': 756762998, 'id_str': '756762998', 'indices': [87, 99]}];RT @bortzmeyer: La souveraineté numérique vient de faire un bond (mais pas en avant) : @meteofrance qui avait cassé tous ses serveurs de no…
142;jolun;bortzmeyer;560530401;51;0;Thu Apr 13 07:31:13 +0000 2023;True;[];[{'screen_name': 'bortzmeyer', 'name': 'Stéphane Bortzmeyer', 'id': 75263632, 'id_str': '75263632', 'indices': [3, 14]}, {'screen_name': 'meteofrance', 'name': 'Météo-France', 'id': 756762998, 'id_str': '756762998', 'indices': [87, 99]}];RT @bortzmeyer: La souveraineté numérique vient de faire un bond (mais pas en avant) : @meteofrance qui avait cassé tous ses serveurs de no…
143;Deep Law for Tech;Maison_IA;1015229046354071553;4;0;Thu Apr 13 07:28:51 +0000 2023;True;[{'text': 'IADATES', 'indices': [31, 39]}, {'text': 'IA', 'indices': [44, 47]}];"[{'screen_name': 'Maison_IA', 'name': ""Maison de l'Intelligence Artificielle"", 'id': 1319630982291533826, 'id_str': '1319630982291533826', 'indices': [3, 13]}]";"RT @Maison_IA: 📢[SAVE THE DATE #IADATES]

« #IA ET SOUVERAINETÉ NUMÉRIQUE : enjeux et défis du XXIe siècle pour la protection du citoyen »…"
